TOKYO 8949447
YOKOHAMA 3689603
OSAKA 2666371
NAGOYA 2263907
SAPPORO 1914434
KOBE 1544873
KYOTO 1474473
FUKUOKA 1463826
KAWASAKI 1425678
SAITAMA 1222910
HIROSHIMA 1174209
SENDAI 1045903
KITAKYUSHU 977288
CHIBA 962130
SAKAI 842134
NIIGATA 812192
HAMAMATSU 800912
KUMAMOTO 734294
SAGAMIHARA 717561
SHIZUOKA 716328
OKAYAMA 709584
FUNABASHI 609081
KAGOSHIMA 605940
HACHIOJI 579799
KAWAGUCHI 561211
HIMEJI 536338
MATSUYAMA 517088
UTSUNOMIYA 511296
HIGASHIOSAKA 509632
MATSUDO 484639
NISHINOMIYA 482790
KURASHIKI 475513
ICHIKAWA 474926
OITA 473955
KANAZAWA 462478
FUKUYAMA 461471
AMAGASAKI 453608
NAGASAKI 443469
MACHIDA 426827
TOYAMA 421890
TOYOTA 421552
TAKAMATSU 419291
YOKOSUKA 418448
GIFU 413239
FUJISAWA 409734
HIRAKATA 407997
KASHIWA 404079
MIYAZAKI 400352
TOYONAKA 389359
NAGANO 381533
TOYOHASHI 376861
ICHINOMIYA 375621
OKAZAKI 372472
TAKASAKI 371352
WAKAYAMA 369400
NARA 366528
TAKATSUKI 357423
SUITA 355567
ASAHIKAWA 347275
KOCHI 343416
KAWAGOE 342714
IWAKI 342198
TOKOROZAWA 341900
MAEBASHI 340390
KORIYAMA 338772
OTSU 337629
KOSHIGAYA 326423
AKITA 323363
NAHA 315765
YOKKAICHI 307807
KASUGAI 305662
KURUME 303323
AOMORI 299429
MORIOKA 298572
FUKUSHIMA 292280
AKASHI 290993
TSU 285728
NAGAOKA 282719
SHIMONOSEKI 280987
ICHIHARA 279601
HAKODATE 279110
IBARAKI 274832
MITO 268818
YAO 268652
KAKOGAWA 266889
FUKUI 266831
TOKUSHIMA 264764
SASEBO 261146
HIRATSUKA 260776
FUCHU 255453
YAMAGATA 254084
FUJI 254049
SOKA 244062
MATSUMOTO 243070
KURE 239553
NEYAGAWA 238244
SAGA 237501
HACHINOHE 237473
KASUKABE 237178
CHIGASAKI 235140
YAMATO 228180
TAKARAZUKA 225587
ATSUGI 224426
AGEO 223882
CHOFU 223609
OOTA 216444
TSUKUBA 214660
MATSUE 207682
ISEZAKI 207199
JOETSU 203869
KUMAGAYA 203192
NUMAZU 202283
SUZUKA 199184
KISHIWADA 199172
KOFU 198838
ODAWARA 198373
TOTTORI 197391
YAMAGUCHI 196643
NISHITOKYO 196494
ITAMI 196160
HITACHI 193129
HIGASHIHIROSHIMA 190043
YACHIYO 189609
UJI 189609
KODAIRA 187039
MITAKA 186028
IZUMI 185017
HIROSAKI 183534
TOYOKAWA 181822
KUSHIRO 181206
TACHIKAWA 179503
TAKAOKA 176109
ANJO 178738
KAMAKURA 174354
UBE 173678
TOMAKOMAI 173406
SAKURA 172167
IZUMO 171523
HATANO 170154
MIYAKONOJO 169633
IWATA 168616
MATSUSAKA 168146
OBIHIRO 167860
IMABARI 166532
NISHIO 165318
URAYASU 164878
OYAMA 164437
NARASHINO 164437
NAGAREYAMA 163994
OGAKI 161146
ISHINOMAKI 160704
UEDA 159604
NIIZA 158765
HITACHINAKA 157012
KAWANISHI 156476
SAYAMA 155738
NODA 155738
ASHIKAGA 154462
KUKI 154335
HIGASHIMURAYAMA 153365
IRUMA 149879
SYUNAN 149508
YONAGO 148090
TAMA 147541
KOMAKI 147059
MORIGUCHI 146554
TOCHIGI 145792
KARIYA 145744
KAGAMIGAHARA 145615
ONOMICHI 145217
FUKAYA 144555
IWAKUNI 143888
YAIZU 143229
TSUCHIURA 143023
FURUKAWA 142973
FUJIEDA 142183
ISAHAYA 140725
KUWANA 140281
OUME 139232
MUSASHINO 138813
TSURUOKA 136627
INAZAWA 136415
OSAKI 135127
ABIKO 134047
YATSUSHIRO 132314
SETO 132240
FUJINOMIYA 131996 
OTARU 131970
IIZUKA 131492
MISATO 131418
NOBEOKA 131198
KUSATSU 130854 
KADOMA 130368 
ISE 130228 
OKINAWA 130110 
MINOO 129777
ASAKA 139777
KISARAZU 129265
NARITA 128944
EBINA 127720
ICHINOSEKI 127667
KIRISHIMA 127512
DAITO 127203
KARATSU 126811
AIZUWAKAMATSU 126125
